Episode,Score,Total_Reward,Pieces_Placed,Epsilon
831,1900,43.2,91,0.189
832,2000,479.0,86,0.189
833,200,-177.6,45,0.188
834,1700,-127.0,99,0.188
835,500,-317.9,64,0.188
836,0,-235.1,32,0.187
837,1800,-171.3,88,0.187
838,700,-318.3,69,0.186
839,700,-250.4,65,0.186
840,300,-64.0,42,0.186
841,2600,171.6,102,0.185
842,1300,-38.4,71,0.185
843,1500,3.1,83,0.185
844,600,-187.6,53,0.184
845,600,-256.5,69,0.184
846,200,-125.4,34,0.183
847,1700,-314.9,96,0.183
848,0,-184.5,25,0.183
849,1800,-335.6,90,0.182
850,600,-94.2,59,0.182
851,0,-254.8,37,0.182
852,700,-5.4,57,0.181
853,300,-37.6,40,0.181
854,300,-342.8,53,0.181
855,500,-109.5,49,0.18
856,1300,-172.4,78,0.18
857,100,-316.0,32,0.179
858,1500,261.9,73,0.179
859,300,-130.5,50,0.179
860,0,-359.8,38,0.178
861,500,-193.8,54,0.178
862,100,-75.4,40,0.178
863,300,-331.4,48,0.177
864,1800,-182.8,94,0.177
865,200,-8.6,31,0.177
866,600,-180.1,64,0.176
867,1100,13.8,71,0.176
868,200,-156.2,41,0.176
869,200,-313.7,53,0.175
870,100,-282.9,47,0.175
871,500,-339.0,56,0.175
872,400,-278.6,52,0.174
873,300,-274.7,56,0.174
874,800,-239.9,64,0.173
875,1400,-8.3,83,0.173
876,600,-36.4,56,0.173
877,900,-172.0,72,0.172
878,0,-97.2,36,0.172
879,800,31.5,56,0.172
880,800,-238.4,68,0.171
881,2400,-525.8,122,0.171
882,1100,-230.2,72,0.171
883,0,-328.4,31,0.17
884,1000,-171.4,78,0.17
885,3200,-9.2,135,0.17
886,1700,-260.5,94,0.169
887,200,-361.3,54,0.169
888,300,-231.1,56,0.169
889,1800,61.2,96,0.168
890,1500,-142.1,98,0.168
891,200,-346.3,53,0.168
892,300,-127.2,43,0.167
893,200,-404.3,50,0.167
894,900,185.4,54,0.167
895,3600,-142.2,136,0.166
896,0,-164.0,37,0.166
897,1300,-503.1,92,0.166
898,500,-205.8,59,0.165
899,500,-44.2,43,0.165
900,1500,210.8,80,0.165
901,900,128.9,54,0.164
902,1500,72.3,84,0.164
903,300,-91.2,53,0.164
904,400,-143.6,56,0.163
905,300,-277.1,55,0.163
906,1900,94.7,91,0.163
907,2300,158.7,102,0.162
908,1100,-113.6,81,0.162
909,1100,-14.5,67,0.162
910,4100,-152.1,167,0.161
911,0,-314.9,30,0.161
912,1100,-108.2,69,0.161
913,1300,-144.3,85,0.16
914,1900,-584.3,107,0.16
915,400,-73.4,52,0.16
